Item Category (Arabic Name)	Full Category Number
أدوات أكل (سكاكين، شوك، ملاعق)	1101
شراشف وأغطية طاولات	1102
أطباق للاستخدام الواحد (بلاستيك)	1103
أطباق للاستخدام الواحد (فلين)	1104
أوعية وقوالب للطهي والتقديم (قصدير)	1105
أطباق وعلب للاستخدام الواحد (ورق وكرتون)	1106
أدوات ومستلزمات طهي وتقديم	1107
علب وأكواب حلويات (كريستال/بلاستيك)	1108
كاسات وفناجين (بلاستيك وكرتون)	1110
مستلزمات كاسات (أغطية، مصاص، حراكات)	1111
دلاء وأوعية تنظيف	1201
فوط ومماسح تنظيف	1202
قشاطات (أرضيات وزجاج)	1203
ليف وسلك جلي	1204
مجاريد	1205
مكانس وفراشي تنظيف	1206
عصي ومقابض أدوات تنظيف	1207
موزعات صابون سائل ورغوة	1301
أجهزة طارد الحشرات	1302
موزعات محارم تنشيف	1303
موزعات ورق تواليت	1304
موزعات مناديل طاولة (نابكنز)	1305
موزعات معطر جو	1306
أجهزة تنشيف كهربائية	1307
مماسح احترافية	1401
قشاطات احترافية (أرضيات وزجاج)	1402
مجاريد احترافية	1403
فراشي ومنافض غبار احترافية	1404
عصي تلسكوبية وملحقات	1405
مكاشط (شبختل) وشفرات	1406
عربات تنظيف وخدمة	1407
سلال وحاويات قمامة	1501
شنط وأكياس (بلاستيك وورق)	1601
رولات تغليف (نايلون وقصدير)	1602
ورق زبدة	1603
علب بلاستيك بغطاء ثابت/مدمج	1604
علب بلاستيك بغطاء منفصل	1605
علب كرتون وورق حلويات	1606
علب صلصات وتوابل (بلاستيك)	1607
لواصق وأشرطة تغليف	1608
مواد تغليف صناعية	1609
أغطية علب طعام	1610
ورق لف (صيدلية)	1611
شفرات ومستلزمات حلاقة	1701
فوط صحية	1702
كريمات ومرطبات بشرة	1703
ليف استحمام	1704
مزيلات عرق	1705
معاجين وفراشي أسنان	1706
قطن وأعواد تنظيف أذن وأسنان	1707
شامبو وغسول جسم	1708
صابون قطع	1709
شاي وأعشاب ومشروبات ساخنة	1801
بسكويت وحلويات جافة للضيافة	1802
قهوة ومبيضات قهوة	1803
مياه معدنية وعصائر	1804
مواد تموينية أساسية	1805
محارم تنشيف	1901
ورق تواليت	1902
مفروشات طبية ورقية (شراشف)	1903
محارم مبللة	1904
مناديل طاولة (نابكنز)	1905
محارم وجه (علب وجيب)	1906
أغطية مقاعد حمامات ورقية	1907
علب محارم فارغة (للتعبئة)	1908
ملابس وقائية (جاون، مريول، طواقي)	2001
منظفات وملمعات أسطح وزجاج	2101
صابون سائل ورغوة للأيدي	2102
مزيلات بقع (ملابس وسجاد)	2103
منظفات ومستلزمات غسالات صحون	2104
مزيلات دهون وشحوم	2105
معقمات طبية ومطهرات	2107
غسيل ملابس	2108
مبيضات (كلور)	2109
مبيدات حشرية وقوارض	2110
منظفات ومعطرات أرضيات وحمامات	2111
معطرات جو	2112
معقمات ومطهرات عامة	2113
مبيدات قوارض (فونيك)	2114
أكياس نفايات	2201
أكياس طعام وتفريز	2202
أكياس تسوق (شنط)	2203
بطاريات	2301
ولاعات وتعبئة غاز	2302
فحم ومستلزمات إشعال	2303
مستلزمات ديكور وزينة (ورد مجفف)	2304
أوعية منزلية متنوعة	2305
مستلزمات منزلية	2306
